(data_001 "Mimpimo ya maasesele yi hoxile xandla eka swa minthwaso." )
(data_002 "Matsalwa ya nga va ya nomo xikombiso mbulavulo wo tsariwa xikombiso." )
(data_003 "kwalomu ka miliyoni yi vekiwile etlhelo hi xikongomelo xo hlayisa." )
(data_004 "Bila i hofisinkulu ya mfumo wa hina kasi Gaza i hofisi ya muganga." )
(data_005 "Basuluka Phamela hi yena mufambisi wa swa vukorhokeri bya nawu." )
(data_006 "Nhlengeletano ya projeke ya ririmi ra rixaka yi khomiwile eKapa hi mhawuri." )
(data_007 "Va nkhensile makungu hinkwawo lama nga endliwa hi Basani." )
(data_008 "Nsati wa yena N'wa-Gezani u n'wi tsalerile mapapila kambe a nga hlamuli." )
(data_009 "Leswaku hi vona lava a va cina va giya tolo u nge vutisi hikuva risema ra punchwani ra ha nuha loko u vulavula na vona." )
(data_010 "Xivambalana a xi ri karhi xi buba." )
(data_011 "Nsati wa yena a ri karhi a hetisa ku longa timbuva ta nuna." )
(data_012 "Xhi, mi nga vileri mukhegula. Xitokisi a xi swi tivi leswaku ku ni mandlhozi." )
(data_013 "Mi ta yisa un'wana a nga ri Gezani Xivambu." )
(data_014 "Sweswi ku nga na xitifikheti xa rifu a swi nga kali swi karhata." )
(data_015 "Van'wana a wu va tirhisi swona leswi." )
(data_016 "Xana ndzi tluletiwile hi mani ke?" )
(data_017 "Hlengani hi yena a tshamaka eNkowankowa na ndyangu wa yena." )
(data_018 "Loko a ri Minyuku hi yena wo hetelela." )
(data_019 "Lexi ndzi xi yelaka i ku ya ringeta ku gongodza emarhumbini." )
(data_020 "Khanyisa, vanhu va ku rhandza loko wa ha copeta." )
(data_021 "I ntiyiso Khanyisa. Mina mihloti ya mavhiki mambirhi ndzi hava." )
(data_022 "Vulani yena a hi yena wo chacheriwa marhonge wa chavisa." )
(data_023 "Xana hikokwalaho ka yini u nga fambangi u vona leswi ndzi karhataka ke?" )
(data_024 "Kambe madokodela yo hlawuleka va lava mali yo tala." )
(data_025 "Ku tirhisa murhi ndza swi lava kambe thyaka rona ra nyangatsa." )
(data_026 "Yo' milenge ya mina yi khome hi vusindza." )
(data_027 "Ku suka Giyani ndzi ta ya Venda Sun ndzi ya bela hi moya." )
(data_028 "Vona vo sayina cheke yo nona ivi va yi veka lahaya.." )
(data_029 "Mina leswo kurisa vana va van'wana mi ta ndzi khomela a ndzi nge swi koti." )
(data_030 "Xana ku njhani kwale yunivhesithi?" )
(data_031 "Munhu o ta hi kwalomo a humaka kona a tisa tipondho." )
(data_032 "Mi to hi khomela tatana a hi nga swi tivi." )
(data_033 "Vusiku ni nhlikanhi ndzi vona xifaniso xa wena." )
(data_034 "Kumbe yena a nga ta ndzi jikela?" )
(data_035 "Hayikhona, ndza sola mani!" )
(data_036 "Se va ndzi koka tindleve loko swi te yini manjhe?" )
(data_037 "Heyi, a hi ku hlangana nhloko hikwalaho ko chelela vingi mabodhlela." )
(data_038 "Mina ndzo khensa vurhongo ni saka ra mugayo ntsena." )
(data_039 "Se ndzi lava ku ya lunghisa swilo swa yindlu." )
(data_040 "Sweswii mhani wa yena a nga swi tivi kuri u ta n'wi kuma kwihi?" )
(data_041 "Risenga, Risenga papa u nga ndzi feli." )
(data_042 "Loko ndzi ku Risenga ndzi twa ndzi chava wonge ndzi ri swa hlola." )
(data_043 "Ri lo haha hirivilo tani hi ndlati." )
(data_044 "Ra xilungu a ri Richard" )
(data_045 "Kereke ya ka Xiluvana a yi rhumerile thicara Maluleke na Phamela," )
(data_046 "kutani loko a ri Ngwenya a wisa ku holova a nga ha bisana pongo ni munhu." )
(data_047 "Kutani a sungula ku tirha hi ku chivirika." )
(data_048 "Tiko a ri tlhumile swinene hi nhova." )
(data_049 "Mukhalabye Maxele se a dyuharile a basile ni nhloko hinkwayo." )
(data_050 "Kutani dyambu ri sungula ku hisa ni moya wu sungula ku hunga hi matimba." )
(data_051 "Nkulukumba Chavani a vuya ekhixini a hundzukile nghohe hi ku kariha." )
(data_052 "Rirhandzu Rikhotso ko va loko ntirho wu n'wi tsandzile." )
(data_053 "Vito ra yena a ri Yingwani Lwandle." )
(data_054 "Muti wa vantima a wu thyiwe vito ra Xiringa." )
(data_055 "Maringa a lelana na thicara ra yena va avana hitimbilu to tika." )
(data_056 "Maringa a hlamala ngopfu hikuva u kuma leswaku i nthyeketo." )
(data_057 "Timhuti ti sungula ku khana." )
(data_058 "Vuhlalu bya kona a byi sasekisiwile hi meno ya mpfuvu." )
(data_059 "Kutani a languta tlhelo a swinya mahlo a twa a antswa." )
(data_060 "Tihomu ti vundza emindzhutini ti gayela." )
(data_061 "Se va ntunxa timhondzo ta bantomu." )
(data_062 "Ku velekiwa ka Maringa misava a yi etlele exirhamini xa vuxika." )
(data_063 "Matsalwa ya Maluleke ya hi hanyisile," )
(data_064 "kasi na xona xibazana se a xi fika exitichini xa ka Manganyi." )
(data_065 "Siku ra Mugqivela na rona ri ku ndzi fikile." )
(data_066 "Phela misava a yi rhendzeleka yi ya ndzhaku." )
(data_067 "Ku huma ka yena evhengeleni o ya hlangana na Risimati." )
(data_068 "Loko ndzi vona yena ivi ndzi languta Ringani ndzi vona Nhluvuko," )
(data_069 "va rhukaniwa ro vuyavuyani." )
(data_070 "Mhaka leyi ya Hlomani yi ni tingana swinene." )
(data_071 "Hambi a ri Ringani, n'wana wa yena a ngari na mhaka na yena." )
(data_072 "Sorisa na Hlupheka va hundzuka xihlekiso." )
(data_073 "Hlomani na yena a ri kona." )
(data_074 "Bulu ra kona a ri nga nyawuri." )
(data_075 "Ku na fika kona tikhapu ti sungula ku yimbelela le khixini." )
(data_076 "Xa yena o tshama emubedweni a ku ntsee." )
(data_077 "Siku rero va fambile ku kondza va ya gova eHlanganani." )
(data_078 "Muyimeri wa va ka Machavi a ri swa hava." )
(data_079 "Bukuta yena no gweviwa a nga se gweviwa." )
(data_080 "Ku tirhisiwa vunghwazi mali ni fole ra hlaza." )
(data_081 "Tinyiko na vasesi Tintswalo a va ha ri na wona ntamu wo swi endla." )
(data_082 "Van'wana a va lo tela ku vona Bukuta wa kona." )
(data_083 "Makhati mangari mangani u to vona lo wajaha a ku humeleloo!" )
(data_084 "Loko kuri ku vhotiwa kan'we muhlawuri yena u swi byela tsolo" )
(data_085 "Mhlohlonyi u lo vhotela hi vanhu ntsena." )
(data_086 "Va tshinelela vafana va le Joni." )
(data_087 "Mali yi hundzuke xiphiqo endleleni ya nhluvuko wa mfumo." )
(data_088 "Vaongori a va rindzele Dlayani hi mahlo yo tshwuka." )
(data_089 "Ntukulu ndzi tshemba leswaku timhaka ta mucato ti mi khome kahle." )
(data_090 "Mana wa Dlayani a ku ina mufana wa mina." )
(data_091 "Ku gongondza ko tlhela ku twala." )
(data_092 "Loko a rivateka nkarhi lowu vekiweke hi magqweta ya Mahlevo wa hela." )
(data_093 "Na ya yena Mahlevo yi nyikile xiqwevo hikuva a nga si heta ku hakela." )
(data_094 "Na lavo thalana a va nga tsandzeki." )
(data_095 "Leswi a swi endla hi Khetani swi sungule ku hlamarisa vanhu." )
